pathway	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep1_10dM1	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep10_10dM10	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep2_10dM2	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep3_10dM3	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep4_10dM4	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep5_10dM5	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep6_10dM6	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep7_10dM7	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep8_10dM8	16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep9_10dM9	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep1_30dM1	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep10_30dM10	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep2_30dM2	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep3_30dM3	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep4_30dM4	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep5_30dM5	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep6_30dM6	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep7_30dM7	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep8_30dM8	16S_FCS_Mmus_C57-6J_0.1Gy_30d-post-IR_Rep9_30dM9	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep1_10dM11	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep10_10dM20	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep2_10dM12	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep3_10dM13	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep4_10dM14	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep5_10dM15	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep6_10dM16	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep7_10dM17	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep8_10dM18	16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep9_10dM19	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep1_30dM11	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep10_30dM20	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep2_30dM12	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep3_30dM13	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep4_30dM14	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep5_30dM15	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep6_30dM16	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep7_30dM17	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep8_30dM18	16S_FCS_Mmus_C57-6J_0.25Gy_30d-post-IR_Rep9_30dM19	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep1_10dM31	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep10_10dM40	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep2_10dM32	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep3_10dM33	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep4_10dM34	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep5_10dM35	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep6_10dM36	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep7_10dM37	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep8_10dM38	16S_FCS_Mmus_C57-6J_0Gy_10d-post-shamIR_Rep9_10dM39	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep1_30dM31	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep10_30dM40	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep2_30dM32	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep3_30dM33	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep4_30dM34	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep5_30dM35	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep6_30dM36	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep7_30dM37	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep8_30dM38	16S_FCS_Mmus_C57-6J_0Gy_30d-post-shamIR_Rep9_30dM39	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep1_10dM21	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep10_10dM30	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep2_10dM22	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep3_10dM23	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep4_10dM24	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep5_10dM25	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep6_10dM26	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep7_10dM27	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep8_10dM28	16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep9_10dM29	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep1_30dM21	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep10_30dM30	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep2_30dM22	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep3_30dM23	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep4_30dM24	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep5_30dM25	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep6_30dM26	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep7_30dM27	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep8_30dM28	16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep9_30dM29
1CMET2-PWY	68146.18166061459	71089.75734483339	74263.14080779183	70794.08936542498	64980.306396973065	79734.05915707568	68366.88697308775	73610.36068235492	74193.13945172243	82132.15922622658	72948.16558752154	79178.53531301566	79021.44196685453	69477.07925609086	64013.08326655072	91951.64128347849	90350.5381904767	88002.58085358323	85259.25161990721	81533.85209091837	77644.69532974831	86837.4343637213	58364.27556709542	78298.89166671748	77338.9994958285	81343.05751400151	66709.02523455472	102442.27123758181	77687.96014611733	73915.19720291968	64858.03210874758	60222.854881348954	83417.47171291686	79081.77698998219	79887.20132410478	64916.63819206784	89744.94662730393	77005.67130075414	85898.91590322847	78688.93531484433	73098.67384075234	71266.07676549617	77746.83185022327	68258.42607870873	65973.53489454274	76883.2047058618	58235.28321585173	98253.7209070938	82971.76833281011	87597.65202787713	162534.27139268853	61203.43541813923	89697.03376027878	83454.2600598503	81983.63904600016	83220.70588843025	78678.52681884634	71870.10318873668	73375.80984127041	72642.10714180974	69858.68175292417	62142.78103305841	79625.24235189268	74620.49988081395	53190.58995563788	85389.15863348517	97807.67291602495	67580.142763748	53136.57810652179	69024.88119652221	104275.96249987221	68112.39100866947	96549.05533929712	81424.69557566184	86581.06287141234	90538.83037483894	7826.622208415729	99518.06626484581	73405.06515997575	93340.14195595856
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1419343399038273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0101131029102604	0.0	6.5646529922561685	0.0	0.0	0.0	0.0	0.0	27.96035878960898	0.0	5.42552883431504	0.8672346572215809	0.0	0.0	0.0	3.422645612382962	0.0	0.0	0.0	2.5560590625296244	9.096013817381104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.58843071348966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8799999999999999	0.0	2.88	0.0	0.0	0.0	0.0	0.0	12.62	0.0	2.38	0.37999999999999995	0.0	0.0	0.0	1.5	0.0	0.0	0.0	1.12	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY	86.27524926626928	110.68846419018446	34.29323968393328	90.31191774963415	17.77313358537852	321.33357003687826	264.5895760972475	346.51677180307007	373.04289204192594	117.74436090225564	43.365200329341995	417.0065534302173	202.68013624805303	89.57563372653782	25.681983469765576	539.6442479594914	795.272157027676	693.4838032553589	0.0	280.75434150659765	49.16816155641361	23.432073414264487	43.18982471780702	51.1262536666316	148.91515389603802	251.45395353648016	117.15997291673548	0.0	247.65399391939107	70.59314143738048	291.89483603795935	82.61069504724614	0.0	155.05961643703938	0.0	435.39412041807253	223.4481387547239	172.12543553416006	0.0	173.82665549897018	137.82852114904878	54.90133022124632	90.17495140238822	0.0	43.637985165245134	42.7235674898106	50.35847711595411	164.9728271412243	68.71573533000694	63.390575137209346	46.8277659926122	424.93532374222036	66.66422440882663	143.27991257694916	1.9966102976158693	63.500887030393805	45.96132381570409	7.953211991477955	1.9961754438456882	166.8096378690594	70.66089225751607	40.21161225185746	165.18343887454628	166.3514079033897	200.68365662471584	352.59492643919873	346.75816540343095	478.87489332299907	109.84136215055862	87.38958332137138	214.07747111553277	186.92976535514353	240.30828217235313	145.9870302748478	123.43525053276393	289.9404310098815	0.0	102.70632179306092	508.0090210779752	113.0535455861071
ANAEROFRUCAT-PWY	28115.233185906796	52701.77368702853	42453.35771585296	36538.979273860255	31567.03971308036	24161.784783561317	42848.71881311019	38398.7212436401	18555.017162253927	35734.89508250151	32151.137381440334	39477.920812984026	51160.207528707186	26018.39737345809	26182.67174322091	35487.87711453518	45991.14856112351	47180.39680792801	25417.536212935684	34109.63211140794	40056.81461584047	64463.316776139254	36889.521371442	45486.48346876419	47320.81176151881	65860.74493942372	17992.47124947927	47928.156167985704	62862.57895956237	50968.555654893935	30241.372754500786	27652.63244040603	27368.997349040168	39931.45019868735	35176.40284737731	34805.54518407047	51561.14363681881	34205.39564392569	41271.151902427504	40237.10123483462	51757.36196321951	49825.897456228966	56394.18513306602	59450.51706418492	50017.12091747178	49580.62581126177	43308.44241845202	35856.40493359781	58521.835721081035	39300.25393971567	78561.28728831852	23296.60036119034	54267.32091045737	52657.37889037279	41386.25168655734	49750.62367561417	65395.80880764016	51590.88324729794	50624.189816587124	41413.910907320664	36612.66420497014	49614.48360589056	48779.639136654776	63611.4105070189	26801.301251123983	64936.58829267623	71228.43074464797	58451.70066904149	44367.00570806937	49019.64597526235	53624.90442973152	27775.12213992949	42595.8020384037	32815.80169529635	27795.97563276621	38154.17877897147	2288.031170116654	40040.53310763108	39172.34534815259	53052.16517978475
ANAGLYCOLYSIS-PWY	39808.96000433178	68715.1890076656	62041.47962689167	50938.33787492637	43502.76721378402	34617.84812097447	57307.99643329713	52804.623110250854	26519.116891662594	50898.801060112644	43673.47920206212	53459.27558598177	66651.92367838834	36094.08066954109	35970.3549550748	49712.34665700089	63404.60089946219	63101.838142529974	36841.620714809054	47164.210894753276	57124.2655724784	85405.16332426298	48668.70844044966	60215.70084276047	65279.757115678694	82732.38074085639	26071.114559421734	86983.64245809602	78372.86655916032	67412.6336144999	40724.183604873855	37759.466327991235	40373.69964904049	55168.86255815081	50436.62445464242	46334.16227604257	69144.29032543008	47020.95397673825	60067.88902340283	56256.698067624035	67020.03682007903	64186.93454371883	71810.26467924817	76052.18955053142	63175.3879695586	65732.24207986545	58632.63135106769	53369.49542010526	75545.1148050007	53932.520182490895	113292.8793260526	32136.400553456748	72728.66912565789	69748.446863483	57213.28225886287	65914.3964256468	84993.37389287086	66790.77738299473	70499.91514297776	55887.24507413266	53348.94224655713	65115.84602643712	66553.18231972323	79377.4534323171	36125.86502808582	96366.13981650426	99280.01902328314	81304.26289121014	59097.78132670941	62044.61153273122	74543.52843420078	38162.614331954675	60299.64876694295	45354.70751704738	40239.428805447016	53119.0390022433	3277.7931721864193	64554.771930850016	51793.99548863438	72609.77050648582
ARG+POLYAMINE-SYN	5143.9270141961315	11781.91166269266	9002.909944779114	7365.906664162862	6961.221297129028	6543.110001020644	6099.928317714883	8541.835638436867	3727.071371624752	12699.11571117128	7114.246895785228	9507.090987997726	11074.712989575142	3333.427669820108	6757.848344289418	7867.803369760869	8009.286010707621	9772.696168601735	7846.885587652493	8574.863773462537	11402.77766401602	13795.631428697625	6925.737515143049	7692.117315106758	10574.958141947349	12143.516019397655	5010.5721480854145	10252.716218773528	18718.649990804824	9735.532009837247	4153.114548000434	3062.176134047005	7030.889708379198	8220.34421427183	9579.809483508776	6473.568071971631	13705.54537492354	4429.045822659212	10722.071721418259	9368.168929889996	13180.640095013558	9264.474292157856	12836.858209256721	12508.161504404718	14998.346460210561	12789.038407410706	13060.871456606586	9206.453992372455	14098.050440950745	12155.766507367196	15589.325268307295	4461.064353352082	10808.367835219222	14247.89160085346	10872.985423990962	14300.217991294166	19721.803706601233	14544.587022524689	12453.932595605665	10644.816625277108	8249.239910970153	9475.117230277281	13216.696755457726	11983.807457689632	4143.271377959509	7271.8008062895115	6659.131599965321	6623.638240096425	12939.4603879953	11664.383880153846	9866.696640578288	7977.007977795583	13896.992776901212	6838.887767547229	7135.202167320843	7818.622352215254	647.6681714714301	6935.106326462895	14226.656070878735	12889.399214960691
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.96541699389202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY	40382.931870269036	41689.252696491734	30979.318327960085	42374.2350215166	43863.50704486037	50123.830950084506	49396.30003009385	43489.759784396156	57288.571549464825	44704.20753814874	72757.1324958569	56397.248189716556	62448.569023878896	63047.8341393881	62062.90731230813	60788.373438434726	50898.637530893044	64941.86254038763	52397.601510166365	66604.11942898159	42036.75679959048	42976.42437651143	41413.09903607237	64140.837991164524	34756.23156949858	54223.81693447814	41041.93758896508	22775.19225494784	54461.783683002686	44074.48439761428	58967.6523920651	50273.67704475819	41901.555843318376	44459.19455896495	45174.32728565429	65513.39231424869	51916.33905268287	65497.3838402879	46186.65443898218	51003.782919432844	44506.832422091495	58587.885108406124	52382.719511134244	39685.101133121185	49834.70684896395	48007.333584707834	26233.04719134645	42164.08304836496	54261.76246870969	53739.819375097744	69084.54309828104	50992.33395637694	52199.252181279444	54489.01927657597	46717.49119519957	55257.10026810772	41751.792384908826	45559.017484295604	30574.348611150806	45539.82773525536	31284.25207953507	37126.689225517366	48132.4040803577	49541.66194484055	44597.71131341928	37533.648374566255	43424.27913936056	39401.5778458139	29773.165178197618	51447.84639906099	57246.26840887021	52383.29624737819	53557.62813034031	62643.51297651109	43948.14252825419	49350.97500704127	4392.0371716378	25733.128820528393	61191.3639037444	50670.762072140955
ARGSYN-PWY	61467.60511291878	56748.13341523131	61158.25568110008	64040.84958052428	60336.829790511016	70636.40981854121	66735.68517306785	62475.86040600585	74205.35816912826	66788.4122633737	81495.71701114831	72599.23473508036	76429.38876356184	72982.71254045429	68842.44114296902	84691.63936869352	75521.6115769706	82291.90268687635	73620.37327063078	82072.16456213371	65432.363051864006	68980.27066907534	55049.62672956989	79750.06101283213	58415.76058222682	71449.8392159234	57101.88909043014	48050.466310092874	69495.07911812192	62084.163524330106	67422.08713719562	59975.60817833186	70375.76226256609	64514.94629055654	71547.79757586551	74538.20145906926	70507.77810313753	76933.14433429902	71498.23676514043	69694.81091701344	62080.0028651772	70422.06552447345	64854.98802280047	55647.3967608684	58908.225827677146	66659.61792176	43474.50888196468	77504.50997772794	71739.94496575792	69912.70775659205	117386.32923502043	60694.86252980951	72752.5779963193	70437.04072428816	66067.72166733717	69600.2462180249	56984.586080475245	60047.66908998983	51237.00535612068	61449.329008199114	57085.98661932114	57860.10505103625	67107.9407076499	62977.2782431868	52846.074201361094	64129.66411324152	75418.49625453561	55418.415831197955	46081.57620216986	65444.52175089451	85537.8923709814	66724.23928748393	78863.23117493681	77900.13144111288	70474.60308005875	74933.48925318205	6466.369665203743	52450.39864275944	73945.88486753046	75053.6202988547
ARGSYNBSUB-PWY	65222.12486833301	58164.61525537933	64398.164971145176	68489.18520061379	64833.01637626838	72304.47600966576	70588.13358671288	64279.90591521498	78874.87761772859	63323.87232413543	90684.34788095631	77355.53513726412	83600.2686843986	80414.00957900382	76737.51533339162	89670.63347747055	78163.08808284039	87469.28799342409	77695.78911942085	87705.39295201952	68441.31382003057	60699.94362044362	59018.51743283041	86458.54494186741	51185.009477746156	75525.86765485235	60544.04456754006	36972.947928716836	74181.99485988713	65872.07657677153	74041.24750267106	66154.51114594952	69011.47567343988	63558.77038023042	76012.95198206895	82690.23003480508	72982.37137165989	84367.69157695794	75450.0317783402	74333.15515758454	64111.143628430385	76108.38402742198	67978.08943833261	56752.91788572681	60962.05188576165	69381.89365106783	44039.62503631889	64722.398206635735	75950.18409826563	72632.65679808526	101859.71380600508	65255.709439884384	75135.58212453238	74072.4760479776	63741.79882906023	72780.84877118419	56292.307563285285	62866.78297363238	44288.954247952985	64308.7140983695	49790.87421223447	61206.086655164334	69904.75817193178	66474.55542924957	56996.967500332874	60896.09253506203	65723.72243401135	59017.56628888337	48915.40765656672	70850.23233995124	76035.86303086537	71584.96063514639	73931.0381159021	82704.85831395943	60619.94012986605	70581.40460382651	6017.787457462835	40154.230022080534	78443.71279077305	70791.51418306048
ARO-PWY	76166.55839089004	75498.58568558622	82323.67113008791	79457.43525216941	71073.8023700499	89466.66662255925	78516.51948783056	80033.2823729937	87524.81139746876	89446.82980242521	88358.14299778671	89548.02406319346	87367.80925995386	80214.17911711057	75009.33947760136	101862.61374209389	96859.25240449158	99587.45521250628	93407.5349622941	95873.99232445013	83973.09607171833	89239.34049369878	66094.39213825243	91435.28137267102	80621.52732981664	86585.4980645663	73481.96157193625	103742.17766111738	83615.49151681959	79476.55783589373	76707.8401239171	68306.66218605354	91505.79328581119	85229.25168594951	89305.5690197275	81969.36711012872	94959.50356263672	87578.59886208427	95863.31131655762	86177.28506628815	79113.51445930173	80927.0165677707	83052.68404763578	71938.40890534598	72858.5965654527	85529.73918205638	58305.97159761932	103080.13860760481	86846.17819272594	91531.2233727829	172051.83538158608	70035.80265014594	96305.09168674995	90232.35945163101	88741.22452064099	89055.15845007473	78225.85495979752	76153.91887258553	73593.74251473178	77708.75469282019	73188.78386115535	68994.76110867469	85364.64109469551	78170.8280801812	62711.987415178344	86034.45477631192	98762.15982720967	69441.46840371109	57210.97496616085	77819.23063570002	110350.179064369	78974.7505381074	103024.46265989513	94746.68055665989	90258.98138962821	96095.52655818782	8290.958247668766	100340.53854320521	84395.51826726271	98977.04394069973
ASPASN-PWY	6447.903095508793	5953.71312530572	8025.812835181614	5348.758385249735	6148.096390928632	7475.854382068651	7038.859393250396	5843.82246381259	7576.4555586463175	7671.11070720717	9362.4586794186	10070.655859336855	6772.166298636384	6401.450408612048	6323.51798267635	8060.82013498806	10762.747215205229	7416.872415932478	4978.032011909755	6059.641879969728	4435.37270307878	6334.25266810158	5806.011089024322	7677.956975228865	5742.7933131140735	10902.466232074014	2512.7555709292915	4973.499340865015	9360.12889047957	9408.511729013102	6584.93268330845	5247.439122622855	7882.714962694474	5029.818510365467	4306.443398276433	9658.918917208714	7434.097447015235	6096.756600234434	5170.946416401772	5914.653197315005	10431.034531703746	12319.470553897334	6087.886941908613	10532.108503398524	10375.922089937592	9671.081267430687	6990.677969720015	9923.605235354455	12610.255295073614	10516.539213746262	10835.240164268127	11788.529064507356	6111.9727793796965	6365.565951969856	8649.36954490643	10051.268433764957	8753.545766834604	8831.781128220819	7355.0046017571485	9840.919988827656	4711.487035628317	6471.763658244027	10065.78421671182	12294.984165579148	5975.088384444391	10977.328893605483	9215.740873627457	11810.137929425517	5862.713725864377	12230.060786174012	7583.915170320715	7796.104838689608	3913.0207756950726	7218.916447679883	8077.639212975085	9052.114140223666	943.6014057581523	3956.3433911374486	7910.730450047191	5945.85206332021
AST-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9777777777777776	0.0	3.2	0.0	0.0	0.0	0.0	0.0	14.022222222222219	0.0	2.6444444444444444	0.42222222222222217	0.0	0.0	0.0	1.666666666666667	0.0	0.0	0.0	1.2444444444444447	4.444444444444445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.55555555555556	0.0	43.96666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	82126.56838375884	77998.32870029403	87276.23555164163	85409.92671884903	78772.57548085439	98851.6476480465	85323.51813370553	87728.8573446258	97175.39742946219	95926.15888037538	96309.1829737668	96524.93466436162	94658.88953912591	88327.18879287974	81397.36225672296	113669.05065145204	107845.18000958119	108629.83005626134	103005.3805922054	107008.79538774205	93061.9098826201	97059.0327500487	74059.6464404309	101990.19471343556	84306.9791083561	95019.5065501348	80264.97722565141	112262.18407316631	91994.29026121182	87501.201779419	83477.50396782508	75569.28014461647	101437.81659376838	92173.52734568361	98069.59169076236	90692.51916709755	103379.43337812042	96923.41277611177	102304.42557438243	96642.29736604632	85776.94083200446	87499.16624969232	88399.20795851483	76644.33663073396	78317.29007333086	90829.66848527949	63915.164080955175	115015.50078659755	94004.670182934	100656.21227873235	188145.01111948644	76666.80916182348	104811.38040724288	98452.82400619853	96641.56798326726	96623.81986433791	85649.73754989028	82470.63250084178	79741.28847099609	86131.49659764933	79778.71779535165	72737.94001145037	92920.9854245292	82671.56487273658	67036.97541816131	89909.61828751974	105421.0060787537	71903.06897038952	60140.25699536299	83263.06522218008	119390.58031542713	86486.2269779934	114669.02670841181	99424.36964066995	101247.04670709491	106369.17411210714	9254.738515693396	110515.6061472143	91964.11861039167	106079.20481574589
CALVIN-PWY	70940.06724892631	70972.09262283606	68542.55680421539	76546.81083831219	75354.77238681917	74062.44454770489	73762.33120617384	72627.29077038777	77894.15753815674	77295.36128986676	120987.16923207515	97117.40277527715	103848.82214976125	104966.93202794624	102442.79074042302	105500.22957115673	92047.97211903053	102743.6585016631	97943.5713649097	98608.07557602497	79653.24008304955	90897.65332996321	68127.1205929133	96735.8584311906	71816.01195396144	94663.65127969286	79436.44017921713	75310.00471422044	95505.86166614352	85533.71177249352	89794.9582749151	85865.17073082061	85816.4208271901	89124.32420937557	83733.48280894679	88323.92498972923	105329.10972954394	109109.51614085642	88102.7742546575	93942.14327133345	87034.80660960694	96567.50711441548	94210.45342282245	75534.03144627939	85240.81805091731	89067.84686588723	57336.813254075154	96778.29998192568	98402.06510852271	104274.23003193717	169088.35738021435	82547.89567169065	105709.84314695188	101265.45862965212	93725.22065871056	102540.3410477488	85549.28514844629	83841.3471679882	66299.60820241256	81936.31839208641	69015.65321079211	62463.072592507946	85146.03465512462	85135.39173896042	62631.460018086975	80851.82565881754	99090.97482160764	67399.06709363805	53814.5314649896	90374.50958226169	122243.64996525321	80649.58027142937	106145.58804418113	89771.3323353477	99798.75290167834	103122.97165494849	9108.448310001153	89971.19556246104	92028.01964494551	96115.36474699594
CARNMET-PWY	0.0	0.0	0.0	0.0	0.0	28.26337477924256	32.551454238192655	33.66501486620416	34.33493282149713	0.0	35.249775178212396	0.0	22.295421181405107	0.0	0.0	168.23735843037167	191.24450910978072	13.843311382965153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.31193512609042	70.04120432151802	0.0	58.27137982512263	84.06293314626129	78.13657427187339	43.4494332401001	0.0	0.0	0.0	126.2797371597157	38.66305254858629	24.760293131747463	0.0	88.98684152620693	77.86605023314364	24.469787866946458	0.0	12.544378698224852	0.0	0.0	0.0	0.0	64.00709062707733	0.0	30.416543574593796	53.25301204819277	53.452754053719524	0.0	0.0	74.5399138787678	0.49525539160045395	0.0	123.40335555044818	0.0	20.339760291818656	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.67130940669728	0.0	63.222948917802164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
